id,Text,Subjectivity,Polarity,Target
35,Proud to stand alongside so many other committed partners to help eliminate trachoma as a public health problem in… ,0.485416667,0.29375,Positive
36,Proud to join the  lineup for a conversation with my friend Shantanu Narayen on how increased use of digital…,1,0.8,Positive
37,Calling all creatives! Join us tomorrow for the launch of our Design for Science competition. Tune in @ 4pm ET for… ,0,0,Neutral
38,"Tomorrow, Pfizer's Morris Birnbaum, MD, PhD, joins  AspenIdeasHealth to discuss our commitment to resea… ",0,0,Neutral
39,"Next month, our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by… ",0,0,Neutral
40,"Today we are proud to be a signatory of IPPACT, a unified declaration of 10 key IP principles that demonstrate ou… ",1,0.4,Positive
41,This “GPS” for the immune system is helping researchers find new targets for autoimmune diseases. Learn more:… ,0.454545455,0.136363636,Positive
42,Our commitment to reducing our environmental impact doesn’t end after Earth Day. Learn more about Pfizer’s efforts… ,0.5,0.5,Positive
43,"For more than 130 years, we have remained committed to vaccine research and development. Read more about one of our… ",0.5,0.5,Positive
44,"Our Chief Patient Officer, Dr. Dara Richardson-Heron stopped by  to talk COVID19 vaccines &amp; answer… ",0,0,Neutral
45,Calling all creatives! We need YOU to design for science. Join our live brief on April 27 to learn how we can work… ,0.416666667,0.068181818,Positive
46,"Today, our own Sandeep Menon joined  &amp; fellow panelists for an  webinar on the potential for dig… ",1,0.3,Positive
47,"Climate Change has a profound impact on human health. In continuing to do our part, we're happy that… ",0.7,0.294444444,Positive
48,"We’re proud to celebrate Earth Day, and remain dedicated to taking science-driven actions to protect our beautiful… ",1,0.8,Positive
49,We must stand for equity — as a company and as human beings — and continue to have courageous conversations about race.…,0.1,0,Neutral
50,"Pfizer, together with over 400 businesses, calls on the Biden Administration to establish the ambitious and attaina… ",0.75,0.25,Positive
51,"Through our antibiotic donation program w/ , we’re proud to have contributed to the elimination of… ",1,0.8,Positive
52,"Karina has lived with eczema, or atopic dermatitis (AD), since childhood. She’s battled itchy skin, bullying, and… ",0,0,Neutral
53,We are deeply committed to our value of Equity and pleased to be recognized by  as 21 on its list of Americ… ,0.7,0.25,Positive
54,Check out the article “The Next Challenge in Combatting COVID19 —Building Vaccine Trust in Communities of Color” v… ,0,0,Neutral
55,We’re proud to partner with  to donate millions of doses of our opioid overdose reversal therapy as pa… ,1,0.8,Positive
56,"Next month, our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by… ",0,0,Neutral
57,"Co-lead of our Multicultural Health Equity Collective, Melissa Bishop-Murphy worked with our longstanding community… ",0,0,Neutral
58,Ensuring diversity of volunteers in clinicaltrials is a matter of both equity and good science. At  we stand by…,0.6,0.7,Positive
59,"Congratulations to , our Chief Development Officer, for this great recognition of his efforts to help… ",0.75,0.8,Positive
60,Join us today for a conversation about efforts to help vaccinate Americans. ,0,0,Neutral
61,"Today, our partners  announced a new milestone toward our shared goal to generate the world’s largest d… ",0.454545455,0.136363636,Positive
62,"Watch today at 1p EST as our Chief Patient Officer, Dr. Dra Richardson-Heron joins a  &amp;  even… ",0,0,Neutral
63,A statement from Pfizer: ,0,0,Neutral
64,The next big thing in the fight against the pandemic could be antivirals. These medicines reduce viral symptoms and… ,0.05,0,Neutral
65,"BREAKING: Today, with , we submitted a request to US FDA to expand emergency use of our COVID-19 vac… ",0,0,Neutral
66,"This WorldHealthWorkerWeek, we recognize the impact of community health workers, like our partners ,… ",0,0,Neutral
67,"In this episode of Behind the Sc(i)en(c)e, discover the science behind developing an oral small molecule to potenti… ",0.6,-0.35,Negative
68,"This WorldHealthDay, learn more from Darren Back, who spoke with  about how partnerships are helping address… ",0.25,0.25,Positive
69,(1/3) ADANEWS: We’ve teamed up with The Pfizer Foundation to address food insecurity and high rates of diabetes in com…,0.54,0.16,Positive
70,"Maintaining supply of essential medications is crucial, especially during a global health crisis. 

During the… ",0.575,0,Neutral
71,"Take a look inside our Kalamazoo, Michigan, manufacturing facility, with Mike McDermott and 
’s ,… ",0,0,Neutral
72,Our colleague Hector Cacique traveled over 300 kilometers in Argentina to ensure that one of our Covid19 clinical… ,0,0,Neutral
73,"Today, we broke ground on a $450M expansion of Pfizer’s largest manufacturing facility in Kalamazoo, MI. It is esti… ",0,0,Neutral
74,"In this episode of Behind the Sc(i)en(c)e, one of our scientists explains how we’re developing an investigational a… ",0.7,-0.4,Negative
75,Updated topline analysis of 927 confirmed symptomatic cases of COVID19 from the landmark Pfizer-BioNTech COVID-19… ,1,0.4,Positive
76,"Every day, and especially today on International Transgender Day of Visibility, we support, stand in solidarity wit… ",0.5,0,Neutral
77,"Today, with , we announced positive topline results in adolescents 12-15 years of age from the Phase… ",0.545454545,0.227272727,Positive
78,"In the U.S., certain minority populations are disproportionally affected by colorectalcancer. Learn more about hea… ",0.535714286,0.357142857,Positive
79,The liver is one of the most important organs in the body. Understand how to recognize and prevent the progressive… ,0.75,0.45,Positive
80,"According to , Cdiff infection is an urgent public health threat. To help raise awareness, in partnership w… ",0.066666667,0,Neutral
81,Our COVID-19 vaccines land in Mongolia!  Thank you COVAX and ! ,0,0,Neutral
82,"We, together with , are proud to announce the start of a global study to evaluate the safety, tolera… ",0.5,0.4,Positive
83,Disrupting the way in which cancer cells assemble proteins has the potential to be a novel way to treat cancers an… ,1,0,Neutral
84,An important day for the people of Tunisia!  Congratulations to  and all of the COVAX partners.  We are pr… ,1,0.5,Positive
85,An exciting milestone for WestBank and Gaza!  Congratulations to  and COVAX on another step towards endin… ,0.8,0.375,Positive
86,"Today, we announced that we’ve started testing the safety profile of our novel oral antiviral investigational drug… ",0,0,Neutral
87,Congratulations to our Chairman &amp; CEO  who was presented  of Conscience Award “for his lead… ,0,0,Neutral
88,"Last month, Our Chief Development and Business Officers,  and , spoke at their alma mater… ",0.066666667,0,Neutral
89,"2020 brought unique challenges and an unprecedented threat.

How did Pfizer create, innovate and lead in the face o… ",0.95,0.4875,Positive
90,"The  documentary ""Mission Possible-The Race for a Vaccine"" premiered last week--uncovering the history-makin… ",0.033333333,0,Neutral
91,"By inhibiting select Janus kinases, proteins that tell immune cells how to react, there’s a possibility to combat… ",0,0,Neutral
92,"From vaccine confidence to clinical trial diversity, creating better public health outcomes means addressing health… ",0.283333333,0.25,Positive
93,What can we learn from local innovators responding to COVID-19? Read more in  from Pfizer’s Caroline Roa… ,0.25,0.25,Positive
94,Black Americans are more likely to get multiplemyeloma but are often underrepresented in clinicaltrials. Learn ab… ,0.644444444,0.111111111,Positive
95,"At Pfizer and around the world, women scientists are leading the charge on COVID19 vaccine development. Join Dr.… ",0,0,Neutral
96,"At Pfizer, we know that we alone cannot combat the COVID-19 pandemic, systemic racial inequalities, and climate cha… ",0,0,Neutral
97,"By 2030, ~12.1 million people are projected to have atrial fibrillation, or AFib, as the U.S. population ages. It’… ",0,0,Neutral
98,"2020 was a year like no other. In the face of simultaneous health, economic, cultural &amp; environmental crises, we to… ",0.225,0.120833333,Positive
99,Annual Review: We look back on a year of unique challenges and breakthrough innovations.,0.5,0.1875,Positive
100,"Following the authorization for emergency use of the Pfizer-BioNTech COVID-19 Vaccine in Israel on 6 Dec 2020, the… ",0.1,0,Neutral
101,It’s been one year since  declared COVID19 a pandemic. Looking back at how we were able to support an ambitiou… ,0.3125,0.25,Positive
102,Today we announced real-world evidence confirming the high effectiveness of our COVID19 vaccine. The findings from… ,0.54,0.16,Positive
103,"Cases of kidneycancer are increasing among all racial groups in the US, with the largest increase seen in Black Am… ",0.433333333,-0.166666667,Negative
104,Thursday marks the 1️⃣  year anniversary of  declaring COVID19 a global pandemic. Follow the past year's journ… ,0.125,-0.125,Negative
105,Nearly half of older people living with cancer say they’ve experienced at least one barrier to treatment during… ,0.45,0.125,Positive
106,"In the U.S., 70% of colorectalcancer cases are diagnosed in people over 65 years of age &amp; 40% over 75 years of age… ",0,0,Neutral
107,“It’s just overall feeling very restricted in what I’m able to do. Because I don’t know when the pain is going to c… ,0.308333333,0.233333333,Positive
108,"Watch as Darren Back,  and others in the GlobalHealth community share with … ",0,0,Neutral
109,"More than just step count, wearables can show a more holistic picture of life with atopicdermatitis. In a new… ",0.5,0.5,Positive
110,Participants in the Women Inspiring Women 2020-2021 program share their perspectives on the value of building a com… ,1,0.5,Positive
111,"To end cancer as we know it, we all need to work together. We’re committed to doing our part to develop breakthroug… ",0,0,Neutral
112,Our new publication in  examined the structure of a key potential vaccine antigen from cytomegalovi… ,0.818181818,0.045454545,Positive
113,"Roughly 1 in 100,000 people worldwide suffer from Dermatomyositis (DM), a rare autoimmune disorder. In Behind the… ",0.666666667,-0.066666667,Negative
114,The delivery of our vaccines to Rwanda through the COVAX AMC today marks a key milestone for us and our partners… ,1,0,Neutral
115,We’re proud to partner with Anthem Inc. &amp; other orgs. to expand Take Action for Health/Tomando Acción por Nuestra S… ,0.491666667,0.258333333,Positive
116,Obesity impacts over 650 million adults worldwide today. Pfizer is working hard to help increase understanding of o… ,0.541666667,-0.291666667,Negative
117,Non-alcoholic steatohepatitis (NASH) is a progressive disease that’s caused by fat buildup in the liver. In some ca… ,0,0,Neutral
118,"Ensuring that the Covid19 vaccine clinical trial participant numbers were diverse was a priority, &amp; Niesha Foster,… ",0,0,Neutral
119,We’re working to meet the needs of the 400 million people affected by rarediseases by developing breakthrough trea… ,0,0,Neutral
120,"Add some science 🧫  🧪 to your Saturday! With only a few ""ingredients"" &amp; simple instructions, watch as one of our s… ",0.485714286,-0.066666667,Negative
121,Pfizer’s manufacturing team plays a significant role in delivering breakthroughs for patients across the globe. Lea… ,0.875,0.375,Positive
122,"In addition to our work in vaccines, we have a long history of developing &amp; manufacturing effective antiviral ther… ",0.6,0.275,Positive
123,"We are raising awareness of the need for equity in the raredisease community. Collectively, people living with a r… ",0,0,Neutral
124,Kathrin Jansen joins global health leaders today at the  VaccineSymposium for a discussion on the Pfiz… ,0,0,Neutral
125,"Today, with , we started an evaluation of the safety and immune response of a third dose of the Pfiz… ",0,0,Neutral
126,Kathrin Jansen will be joining  COVID19 VaccineSymposium tomorrow to provide industry perspective on… ,0,0,Neutral
127,Our Chief Development Officer  shared with  the important lessons learned from COVID19 that… ,1,0.4,Positive
128,PfizerBlackHistoryMaker Markus attributes his success to his unwavering faith and passion for serving others. His… ,0,0.3,Positive
129,"This BlackHistoryMonth, we are celebrating our own trailblazers, like Bert Bruce, who shares what being a… ",1,0.6,Positive
130,"Today at BioComGlobalPartnering 2021, our own Uwe Schoenbeck is sharing why we believe partnerships are vital to… ",0.7,0.35,Positive
131,"LIVE NOW: John Young, our Chief Business Officer, sits down with the  Committee to discuss expanding… ",0.396296296,0.026936027,Positive
132,How can we maintain progress on GlobalHealth priorities in a COVID-19 world? At  PrescriptionForProgress Da… ,0,0,Neutral
133,Severe hypertriglyceridemia (SHTG) may lead to conditions such as acute pancreatitis and cardiovascular disease. Do… ,0.7,0.3,Positive
134,"Today: John Young, our Chief Business Officer, is taking part in an important hearing with  on expan… ",0.7,0.25,Positive
135,"It takes a lot of people to research and develop a successful drug, but that’s just the beginning. Find out more ab… ",0.725,0.625,Positive
136,"In conditions like osteoarthritis, there is an overproduction of biochemical mediators, including nerve growth fac… ",0,0,Neutral
137,"PfizerProud to have  stop by our Kalamazoo, Michigan site and recognize our essential manufacturing &amp; supply… ",0.3,0,Neutral
138,"Our CEO,  sharing Covid19 vaccine manufacturing updates from our Kalamazoo, Michigan site after… ",0,0,Neutral
139,"We're excited to partner with  on a new documentary ""Mission Possible: The Race for A Vaccine."" Before it ai… ",0.551136364,0.127840909,Positive
140,"While vaccines help to prevent people from getting viruses, antivirals treat people who have already been infected.… ",0,0,Neutral
141,Today we shared new data with  demonstrating the stability of our COVID19 vaccine when stored at -25°C to -… ,0.454545455,0.136363636,Positive
142,Know a Black chemist who deserves acclaim? Share their story to help us celebrate Black History Month. We'll be highlighting 30…,0.433333333,-0.166666667,Negative
143,A big milestone for the  which has raised an additional $140M. We are proud to be a part of the world… ,0.55,0.4,Positive
144,In honor of BlackHistoryMonth we are sharing stories from our colleagues who are making history in their families… ,0,0,Neutral
145,"“Sometimes my self-esteem is there, other days I can’t find something to wear that won’t make me itch or that doesn… ",0.375,-0.125,Negative
146,Bispecific antibodies are a promising type of therapy under investigation for multiplemyeloma and other types of c… ,0.4375,0.0375,Positive
147,"NGF–or nerve growth factor–is a biochemical mediator which, when released at the site of injury or inflammation, bi… ",0,0,Neutral
148,"We have a long history of developing &amp; manufacturing effective antiviral therapies and vaccines, which helped us j… ",0.6,0.275,Positive
149,"Barbara has a candid conversation with , President and CEO of , on why she believes the i… ",0.8,0.6,Positive
150,Wishing you all a ValentinesDay that's positively charged with love! ⚛️💘 ,0.572727273,0.426136364,Positive
151,We are proud to have this supply agreement with  in place for our COVID19 vaccine as a key step towards rea… ,1,0.4,Positive
152,"We’re ready for another 1️⃣7️⃣0️⃣➕ years of breakthroughs, but first, a stroll down memory lane to look at where we… ",0.374074074,0.098148148,Positive
153,Girls in STEM today become the scientists👩🏽‍🔬👩🏻‍🔬👩🏿‍🔬👩🏼‍🔬👩🏾‍🔬 of tomorrow. PfizerProud of all our scientists &amp; eng… ,0,0,Neutral
154,We’re committed to developing breakthrough medicines that have potential to improve the lives of patients with non-… ,1,0,Neutral
155,We’re delighted to have been recognized for our efforts to drive down emissions in our supply chain with a position… ,0.494444444,0.272222222,Positive
156,We took  through the painstaking and time-consuming process of creating an mRNA vaccine while ensuring pro… ,0,0,Neutral
157,"650+ miles= the distance Chaz Calitiri, VP of Operations has been away from his family during this pandemic when at… ",0,0,Neutral
158,Obesity is a serious disease and a growing epidemic. With our legacy and expertise in cardiovascular and metabolic… ,0.666666667,-0.333333333,Negative
159,We’re focused on advancing treatment and care for patients living with or at risk for cardiovascular disease (CVD).… ,0,0,Neutral
160,"An estimated 31 million adults in the U.S. are living with osteoarthritis, with OA patients reporting limitations… ",0,0,Neutral
161,We are delighted to reveal that Pfizer has a number of finalists shortlisted for the ’s Key Account… ,0.85,0.35,Positive
162,"We can all raise awareness and take action to reduce inequities in cancercare. This WorldCancerDay, learn more ab… ",0.3,0.3,Positive
163,We’re working diligently to identify new and innovative ways to potentially treat the progressive liver disease kno… ,0.818181818,0.212121212,Positive
164,"What is the difference between an antiviral and a vaccine? And how does it work? 

In the 2nd video of Behind the… ",0.35,-0.2,Negative
165,We’ve launched the ASPIRE ANGPTL3 Cardiovascular Competitive Grants Program in support of independent scientific re… ,0.125,0,Neutral
166,"Excited to welcome Dr. Kathrin Jansen of  to the ""virtual podium"" at tomorrow's ""Quest for a COVID-19 Vaccine"" even…",0.825,0.5875,Positive
167,"Partnership is key to addressing GlobalHealth challenges, including the fight against NTDs, like trachoma. Toda… ",1,0,Neutral
168,"Ahead of WorldNTDDay tomorrow, learn about our longstanding partnership with  and others to help protec… ",0,0,Neutral
169,"Later today,  joins leaders at the  to discuss our response to the pandemic &amp; commitment to workin… ",0,0,Neutral
170,Pfizer’s Jim Sage joined  for a Congressional Brief to discuss the challenges that chronicpain patients fa… ,0.333333333,0,Neutral
171,Osteoarthritis is a leading cause of chronic pain and disability worldwide. The condition represents a substantial… ,0,0,Neutral
172,"The  is LIVE with Pfizer’s Chief Scientific Officer, Mikael Dolsten. Tune in now to hear more about our jou… ",0.5,0.318181818,Positive
173,We’re looking forward to continuing the conversation around eczema soon—we’ll be providing you with real stories fr… ,0.3,0.2,Positive
174,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for… ,0,0,Neutral
175,"Join our Chief Scientific Officer, Mikael Dolsten, LIVE on  tomorrow in discussion on COVID19 and Pfizer’s… ",0.5,0.136363636,Positive
176,"Fear around COVID19 has led to reduced cancer screenings &amp; follow-up appointments. For those affected by cancer, t… ",0,0,Neutral
177,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency us…,0,0,Neutral
178,"“R&amp;D should be rewarded with risks,” Dolsten said, but added that when companies like Moderna are given huge lump sums,…",0.9,0.4,Positive
179,The Pfizer of 2021 is all about science and patients. Hear our Chairman &amp; CEO  talk with  abo… ,0,0,Neutral
180,"2021’s   biennial ranking has Pfizer among the top five pharmaceutical companies, due to our commitment to… ",0.4375,0.1875,Positive
181,"At  TheYearAhead,  will discuss how Pfizer plans to progress our science, drive innovat… ",0,0,Neutral
182,NEWS: The final 12 to 15-year-old participant groupwas enrolled this week in the Pfizer/BioNTech COVID19 vaccine c… ,1,0,Neutral
183,We are proud to announce that Pfizer &amp; BioNTech have signed an agreement with COVAX for up to 40M doses of our… ,1,0.8,Positive
184,We’re glad to see &amp; support the great strides in research that  is making towards CancerHealthEquity! Learn m… ,0.875,0.75,Positive
185,"Explore Behind the Sc(i)en(c)e, our new video series giving a glimpse at the trailblazing work being done by our sc… ",0.577272727,-0.131818182,Negative
186,"According to , 's Ad Awareness increased by 66% in 2020. ScienceWillWin ClientWork ",0,0,Neutral
187,"Eczema can lead to physical and emotional burdens. That’s why conversations around the management of eczema, also… ",0.396428571,0,Neutral
188,Grant Opportunity for HCPs and Research Scientists: Not only is ATTRCM a rare and life-threatening cardiac condit… ,0.633333333,0.083333333,Positive
189,"Dr. Martin Luther King Jr. once said, “The ultimate measure of a man is not where he stands in moments of comfort a… ",1,0,Neutral
190,Press play ▶️  to check out this cool behind-the-scenes look of our new window installation at our New York HQ.… ,0.51969697,0.207575758,Positive
191,"Physical symptoms of eczema, or atopic dermatitis (AD), can be challenging enough, but the impact beyond physical s… ",0.446428571,0.125,Positive
192,We recognize knowledge exchange as important to continuing education continuum. Learn how our independent medical e… ,0.375,0.133333333,Positive
193,"Angela Hwang, our Group President, Biopharmaceuticals, shares updates on our COVID19 vaccine during this year’s 39… ",0,0,Neutral
194,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for… ,0,0,Neutral
195,"EstimATTR, our new educational tool for healthcare providers, highlights clinical conditions commonly associated wi… ",0.401515152,0.028787879,Positive
196,Quality improvement grants support projects in inflammation &amp; immunology that address practice gaps and have the… ,0,0,Neutral
197,We proudly stand with our scientists who work tirelessly in the pursuit of treatments that save and extend lives.… ,1,0.8,Positive
198,JPM2021: Tomorrow  joins a fireside chat with  analyst Chris Schott. Listen to the conversat… ,0,0,Neutral
199,We’re leading the charge in AI with the development of EstimATTR. This tool aims to educate healthcare providers a… ,0,0,Neutral
200,The blood-brain barrier has long been the Achilles’ heel of targeted cancer therapies. But scientists at Pfizer Bo… ,0.4,-0.05,Negative
201,We are using bigdata and digital technologies such as ArtificialIntelligence to improve awareness of wtATTR-CM cl… ,0.25,0,Neutral
202,"In additional to a vaccine, antivirals can play an important role in fighting viruses. Our investigational… ",1,0.4,Positive
203,We are bridging the gap between our digitalinnovation and raredisease teams to provide a new educational tool for… ,0.352272727,0.193181818,Positive
204,"In order to realize the breakthroughs of the future, we’ve revolutionized how we work today. We're unlocking the pi… ",0.125,0,Neutral
205,Here’s to science bringing some much needed light into 2021.💥🧪 Wishing you all a Happy New Year!🎇🎆 ,0.588636364,0.384090909,Positive
206,"NEWS: In partnership with the , today we announced an agreement to supply an additional 100M doses of… ",0,0,Neutral
207,"We are leveraging our 20+ year heritage in hemophilia to continue to support research into basic, clinical science… ",0.125,0,Neutral
208,Studies to date estimate that the novel coronavirus mutates at a rate approximately four times slower than the seas… ,0.6,-0.4,Negative
209,Happy Holidays from all of us at Pfizer. ,1,0.8,Positive
210,Antivirals are drugs used to treat viral infections. What role might our investigational antiviral against… ,0,0,Neutral
211,Do you know why music elicits a powerful effect on the mind? Find out more.,0.75,0.4,Positive
212,Our Oncology Global President &amp; General Manager  reflects on how leaders can create company cultures w… ,0.25,0.025,Positive
213,"NEWS: Today we announced a second agreement with the U.S. government to supply our COVID19 vaccine, developed with… ",0.15,0.05,Positive
214,Is rheumatoid arthritis hereditary or genetic? Find out here: rheumatoidarthritis RA genetics,0,0,Neutral
215,Adriana leads a team that prepares clinical trial samples for analysis. Hear what drives her passion for science. 🧬🔬 ,0,0,Neutral
216,"Hemophilia is a rare, genetic disorder that causes blood not to clot properly, increasing the risk of spontaneous… ",0.5,0.15,Positive
217,Notes like these are reminders of why we do the work we do at . ,0,0,Neutral
218,"Sandy, who manages diversity in clinical trials, shares what motivates her work and why it is deeply personal.… ",0.4,0,Neutral
219,NEWS: The  🇪🇺 granted a conditional marketing authorization for our COVID19 vaccine with… ,0,0,Neutral
220,"A day to remember and to celebrate. Mike McDermott, President of Pfizer Global Supply, shares why December 13, 2020… ",0,0,Neutral
221,What are the differences between biologics and biosimilars? Learn the important facts about these two therapeutics.,1,0.4,Positive
222,"Congratulations to everyone at ! The world needs multiple tools in the battle against COVID19, and I am very…",0,0,Neutral
223,. and ’ Alex Gorsky spoke recently with Mike Milken at the ’s Future of Health… ,0.1875,0,Neutral
224,"James knows what it takes to get our medicines and vaccines transported safely to patients around the globe.  

Ni… ",0.5,0.5,Positive
225,💙💙💙 ,0,0,Neutral
226,"Every day, I’m asked variations of the same question: How will  &amp;  rapidly, seamlessly distribute o…",0.1125,0.05,Positive
227,PfizerProud to announce that our scientists have dosed the first patients in a Phase 2 trial. This is a novel inve… ,0.333333333,0.25,Positive
228,We’re applying scientific innovation to help fight climate change by reducing our carbon emissions and the environm… ,0,0,Neutral
229,"Terrific to see this message outside our office in Collegeville, PA. I’m sure it brought joy to our colleagues there. Th…",0.534722222,0.325,Positive
230,A weekend away in nature can be life changing for women with BreastCancer. We’re joining  on Dec 16… ,0,0,Neutral
231,"PfizerProud 💙
.
.
The Pfizer-BioNTech COVID19 vaccine has not been approved or licensed by the  but has be… ",0,0,Neutral
232,Pfizer is proud to support independent initiatives to improve patient outcomes through our competitive grants prog… ,0.5625,0.4,Positive
233,"📸: The first shipment from our Kalamazoo plant.   
.
.
The Pfizer-BioNTech COVID19 vaccine has not been… ",0.333333333,0.25,Positive
234,UPDATE: The 's Advisory Committee on Immunization Practices (ACIP) voted today to recommend the use of the… ,0,0,Neutral
235,Community health workers play an important role in connecting communities with health information and services in Indonesia. @…,1,0.4,Positive
236,"The story of how Pfizer delivered a COVID19 vaccine.

The Pfizer-BioNTech COVID-19 vaccine has not been approved o… ",0,0,Neutral
237,NEWS: The Pfizer- COVID19 vaccine has not been approved or licensed by the  but has been aut… ,0,0,Neutral
238,"How can today’s PublicHealth crisis help prepare us for the next one? Ahead of UHCDay, read more in  fro… ",0.25,0.25,Positive
239,The  Vaccines and Related Biological Products Advisory Committee (VRBPAC) voted in support of granting Emer… ,0.4,0,Neutral
240,"Last month, our colleagues ditched their razors and grew out their facial hair 👨🏽👨🏼 to support ’s annual… ",0.033333333,0,Neutral
241,"NEWS:  published safety and final efficacy results from the Phase 3 trial of our COVID19 vaccine, developed w… ",0.65,0.05,Positive
242,"Innovative technologies like mRNA vaccines, currently being investigated, may be critical in the fight against… ",0.733333333,0.166666667,Positive
243,Learn how The Pfizer Foundation’s support of  is helping US safety-net community health providers like… ,0,0,Neutral
244,Investigator sponsored research is essential to advancing medical and scientific knowledge about treatment. That’s… ,0.15,0,Neutral
245,"Obesity is a serious disease that is linked to many life-threatening health conditions, including heart disease. ",0.583333333,0.083333333,Positive
246,We are proud to be one of the 70+ companies involved in ’s CatalystForChange initiative. Progress for… ,1,0.8,Positive
247,"Of the billions invested in breastcancer research, only a fraction goes to metastaticbreastcancer. For us, nothin… ",1,0,Neutral
248,"On Nov 20, we submitted a request to  for Emergency Use Authorization of our investigational COVID19 vaccin… ",0,0,Neutral
249,UKBiobank launches a new scientific study measuring circulating proteins to better understand the link between genetics a…,0.477272727,0.318181818,Positive
250,The Pfizer Foundation is supporting organizations serving the African American community with 10 new grants to adva… ,0.176136364,0.096590909,Positive
251,What are the differences between the symptoms for COVID19 and other common respiratory viruses? Read:… ,0.4375,-0.2125,Negative
252,Tune in 🎦 to the MIHealthSummit at 12 pm ET 🕛 for a conversation 💬 with our CEO  and CEO of … ,0,0,Neutral
